89402	Crystal Bay	Washoe	
89405	Empire	Washoe	
89412	Gerlach	Washoe	
89424	Nixon	Washoe	
89431	Sparks	Washoe	
89432	Sparks	Washoe	
89433	Sun Valley	Washoe	
89434	Sparks	Washoe	
89435	Sparks	Washoe	
89436	Sparks	Washoe	
89439	Verdi	Washoe	
89441	Sparks	Washoe	
89442	Wadsworth	Washoe	
89450	Incline Village	Washoe	
89451	Incline Village	Washoe	
89452	Incline Village	Washoe	
89501	Reno	Washoe	
89502	Reno	Washoe	
89503	Reno	Washoe	
89504	Reno	Washoe	
89505	Reno	Washoe	
89506	Reno	Washoe	
89507	Reno	Washoe	
89509	Reno	Washoe	
89510	Reno	Washoe	
89511	Reno	Washoe	
89512	Reno	Washoe	
89513	Reno	Washoe	
89515	Reno	Washoe	
89519	Reno	Washoe	
89520	Reno	Washoe	
89521	Reno	Washoe	
89523	Reno	Washoe	
89533	Reno	Washoe	
89555	Reno	Washoe	
89557	Reno	Washoe	
89570	Reno	Washoe	
89595	Reno	Washoe	
89599	Reno	Washoe	
89704	Washoe Valley	Washoe	
